Station,Date,Time,Campaign,Institution,River,Latitude,Longitude,Average Velocity (m/s),Flow (m3/s),Distance from Bank,Conductivity (uS/cm),Bulk Density (g/cm3),Real Density (g/cm3),Moisture (%),Organic Matter (%),pH,Sand (%),Silt (%),Clay (%),Textural Classification,0.032 mm - No. 450 (ASTM) (%),0.063 mm - No. 230 (ASTM) (%),0.125 mm - No. 120 (ASTM) (%),0.250 mm - No. 060 (ASTM) (%),0.500 mm - No. 035 (ASTM) (%),1.00 mm - No. 018 (ASTM) (%),2.00 mm - No. 010 (ASTM) (%),Residue (%),Sieve Size,Aluminum (g/100 g fraction) (% Al),Antimony (mg/kg Sb),Arsenic (mg/kg As),Sulfur (g/100 g fraction) (% S),Barium (mg/kg Ba),Beryllium (mg/kg Be),Bismuth (mg/kg Bi),Boron (mg/kg B),Cadmium (mg/kg Cd),Calcium (g/100 g fraction) (% Ca),Cerium (mg/kg Ce),Cesium (mg/kg Cs),Cobalt (mg/kg Co),Copper (mg/kg Cu),Chromium (mg/kg Cr),Dysprosium (mg/kg Dy),Erbium (mg/kg Er),Scandium (mg/kg Sc),Tin (mg/kg Sn),Strontium (mg/kg Sr),Europium (mg/kg Eu),Phosphorus (g/100 g fraction) (% P),Gadolinium (mg/kg Gd),Gallium (mg/kg Ga),Germanium (mg/kg Ge),Hafnium (mg/kg Hf),Iron (g/100 g fraction) (% Fe),Holmium (mg/kg Ho),Indium (mg/kg In),Ytterbium (mg/kg Yb),Yttrium (mg/kg Y),Lanthanum (mg/kg La),Lithium (mg/kg Li),Lutetium (mg/kg Lu),Magnesium (g/100 g fraction) (% Mg),Manganese (mg/kg Mn),Mercury (ug/kg fraction) (ug/kg Hg),Molybdenum (mg/kg Mo),Neodymium (mg/kg Nd),Niobium (mg/kg Nb),Nickel (mg/kg Ni),Gold (ug/kg fraction) (ug/kg Au),Silver (mg/kg Ag),Lead (mg/kg Pb),Potassium (g/100 g fraction) (% K),Praseodymium (mg/kg Pr),Rhenium (mg/kg Re),Rubidium (mg/kg Rb),Samarium (mg/kg Sm),Selenium (mg/kg Se),Sodium (g/100 g fraction) (% Na),Thallium (mg/kg Tl),Tantalum (mg/kg Ta),Tellurium (mg/kg Te),Terbium (mg/kg Tb),Titanium (g/100 g fraction) (% Ti),Thorium (mg/kg Th),Thulium (mg/kg Tm),Uranium (mg/kg U),Vanadium (mg/kg V),Tungsten (mg/kg W),Zinc (mg/kg Zn),Zirconium (mg/kg Zr),Lat_dd,Long_dd,data_source,Apparent Density (g/cm3),0.016 mm (%),4.75 mm - No. 004 (ASTM) (%)
San Josecito,2023-12-04,18:15,December 2023,DE - CTN,Pilaya,"21° 09' 05.33""","64° 14' 17.85""",NA,NA,0,289,NA,2.69,28.42,0.57,8,89.14,10.86,0,Arena,0.85,8.07,34.47,55.23,0.16,0.33,0.47,0.42,<0.063 mm,NA,NA,41,NA,NA,NA,1.15,1.007,0.111,NA,NA,NA,NA,7.705,5.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979,NA,NA,NA,NA,NA,NA,NA,NA,168,83.1,NA,NA,NA,9.341,NA,0.00825,14.6,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,-21.151481,-64.238292,sed_2023_clean.xlsx,1.54,NA,NA
San Josecito,2023-12-04,18:15,December 2023,DE - CTN,Pilaya,"21° 09' 05.33""","64° 14' 17.85""",NA,NA,0,289,NA,2.69,28.42,0.57,8,89.14,10.86,0,Arena,0.85,8.07,34.47,55.23,0.16,0.33,0.47,0.42,0.063 - <2.0 mm,NA,NA,4.18,NA,NA,NA,1.15,6.374,0.173,NA,NA,NA,NA,6.706,4.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5131,NA,NA,NA,NA,NA,NA,NA,NA,240,217,NA,NA,NA,8.618,NA,0.00825,11.8,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,-21.151481,-64.238292,sed_2023_clean.xlsx,1.54,NA,NA
San Josecito,2023-12-04,18:15,December 2023,DE - CTN,Pilaya,"21° 09' 05.33""","64° 14' 17.85""",NA,NA,0,289,NA,2.69,28.42,0.57,8,89.14,10.86,0,Arena,0.85,8.07,34.47,55.23,0.16,0.33,0.47,0.42,<0.063 mm,NA,NA,41,NA,NA,NA,1.15,1.007,0.111,NA,NA,NA,NA,7.705,5.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979,NA,NA,NA,NA,NA,NA,NA,NA,168,83.1,NA,NA,NA,9.341,NA,0.00825,14.6,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,-21.151481,-64.238292,sed_2023_clean.xlsx,1.54,NA,NA
Puente Aruma - Automática,2023-12-04,11:00,December 2023,DE - CTN,Pilcomayo,"20° 54' 50.36""","64° 06' 38.10""",NA,NA,0,333,NA,2.64,28.42,1.13,8,70.48,29.52,0,Arenoso Franco,6.67,60.93,14.51,2.91,3.43,3.44,5.07,3.05,0.063 - <2.0 mm,NA,NA,9.5,NA,NA,NA,1.15,4.352,0.233,NA,NA,NA,NA,14.39,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6301,NA,NA,NA,NA,NA,NA,NA,NA,424,5,NA,NA,NA,17.38,NA,0.00825,25.1,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4,NA,-20.913989,-64.110583,sed_2023_clean.xlsx,1.39,NA,NA
Puente Aruma - Automática,2023-12-04,11:00,December 2023,DE - CTN,Pilcomayo,"20° 54' 50.36""","64° 06' 38.10""",NA,NA,0,333,NA,2.64,28.42,1.13,8,70.48,29.52,0,Arenoso Franco,6.67,60.93,14.51,2.91,3.43,3.44,5.07,3.05,<0.063 mm,NA,NA,5.88,NA,NA,NA,1.15,2.534,0.132,NA,NA,NA,NA,11.38,7.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3673,NA,NA,NA,NA,NA,NA,NA,NA,270,5,NA,NA,NA,13.25,NA,0.00825,18.6,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,NA,-20.913989,-64.110583,sed_2023_clean.xlsx,1.39,NA,NA
Villamontes,2023-12-03,13:30,December 2023,DE - CTN,Pilcomayo,"21° 15' 32.23""","63° 30' 41.79""",1.116,129.983,0,346,NA,2.63,23.03,0.3,8,82.48,17.54,0,Arenoso Franco,1.08,3.85,23.17,70.89,0.52,0.05,0,0.42,0.063 - <2.0 mm,NA,NA,32.2,NA,NA,NA,1.15,0.1525,0.494,NA,NA,NA,NA,5.042,1.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3292,NA,NA,NA,NA,NA,NA,NA,NA,80.54,5,NA,NA,NA,3.512,NA,1.27,67.4,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,-21.258953,-63.511608,sed_2023_clean.xlsx,1.67,NA,NA
Villamontes,2023-12-03,13:30,December 2023,DE - CTN,Pilcomayo,"21° 15' 32.23""","63° 30' 41.79""",1.116,129.983,0,346,NA,2.63,23.03,0.3,8,82.48,17.54,0,Arenoso Franco,1.08,3.85,23.17,70.89,0.52,0.05,0,0.42,<0.063 mm,NA,NA,5.63,NA,NA,NA,1.15,0.1525,0.149,NA,NA,NA,NA,7.622,5.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8105,NA,NA,NA,NA,NA,NA,NA,NA,196,5,NA,NA,NA,8.657,NA,0.00825,16.1,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,-21.258953,-63.511608,sed_2023_clean.xlsx,1.67,NA,NA
Misión La Paz - SNIH,2023-12-03,7:05,December 2023,DE - CTN,Pilcomayo,"22° 22' 40.64""","62° 31' 06.70""",1.391,119.948,0,512,NA,2.67,39.67,0.93,7,52.68,47.32,0,Franco Arenoso,3.96,35.32,5.48,2.85,5.29,11.04,35.27,0.79,0.063 - <2.0 mm,NA,NA,181,NA,NA,NA,1.15,0.1525,2.891,NA,NA,NA,NA,11.75,1.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638,NA,NA,NA,NA,NA,NA,NA,NA,136,5,NA,NA,NA,5.924,NA,4.88,318,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,NA,-22.377956,-62.518528,sed_2023_clean.xlsx,1.67,NA,NA
Misión La Paz - SNIH,2023-12-03,7:05,December 2023,DE - CTN,Pilcomayo,"22° 22' 40.64""","62° 31' 06.70""",1.391,119.948,0,512,NA,2.67,39.67,0.93,7,52.68,47.32,0,Franco Arenoso,3.96,35.32,5.48,2.85,5.29,11.04,35.27,0.79,<0.063 mm,NA,NA,8.5,NA,NA,NA,1.15,3.054,0.237,NA,NA,NA,NA,13.9,6.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3562,NA,NA,NA,NA,NA,NA,NA,NA,283,5,NA,NA,NA,13.95,NA,0.00825,24,NA,NA,NA,NA,NA,1.018,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.8,NA,-22.377956,-62.518528,sed_2023_clean.xlsx,1.67,NA,NA
El Potrillo,2023-11-19,9:50,November 2023,DE - CTN,La Estrella,"23° 08' 17.51""","61° 57' 50.26""",NA,NA,0,825,NA,2.66,30.41,0.97,8,44.93,55.07,0,Franco Limoso,0.87,15.42,23.91,9,14.2,27.99,8.28,0.33,0.063 - <2.0 mm,NA,NA,3.72,NA,NA,NA,1.15,0.1525,0.135,NA,NA,NA,NA,10.54,6.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2092,NA,NA,NA,NA,NA,NA,NA,NA,285,5,NA,NA,NA,12.04,NA,0.00825,12.3,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,NA,-23.138197,-61.963961,sed_2023_clean.xlsx,1.15,NA,NA
El Potrillo,2023-11-19,9:50,November 2023,DE - CTN,La Estrella,"23° 08' 17.51""","61° 57' 50.26""",NA,NA,0,825,NA,2.66,30.41,0.97,8,44.93,55.07,0,Franco Limoso,0.87,15.42,23.91,9,14.2,27.99,8.28,0.33,<0.063 mm,NA,NA,4.2,NA,NA,NA,1.15,0.1525,0.112,NA,NA,NA,NA,10.68,7.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3225,NA,NA,NA,NA,NA,NA,NA,NA,292,5,NA,NA,NA,13.78,NA,0.00825,12.9,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,NA,-23.138197,-61.963961,sed_2023_clean.xlsx,1.15,NA,NA
General Díaz,2023-11-16,13:30,November 2023,DE - CTN,Pilcomayo,"23° 34' 8.53""","60° 31' 22.50""",NA,NA,0,4510,NA,2.68,12.84,0.58,8,25.49,74.51,0,Franco Limoso,3.13,59.5,15.8,2.67,3.44,4.03,10.56,0.87,0.063 - <2.0 mm,NA,NA,5.97,NA,NA,NA,1.15,9.647,0.147,NA,NA,NA,NA,11.63,9.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6448,NA,NA,NA,NA,NA,NA,NA,NA,335,5,NA,NA,NA,15.84,NA,0.00825,15.5,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,NA,-23.569036,-60.522917,sed_2023_clean.xlsx,1.42,NA,NA
General Díaz,2023-11-16,13:30,November 2023,DE - CTN,Pilcomayo,"23° 34' 8.53""","60° 31' 22.50""",NA,NA,0,4510,NA,2.68,12.84,0.58,8,25.49,74.51,0,Franco Limoso,3.13,59.5,15.8,2.67,3.44,4.03,10.56,0.87,<0.063 mm,NA,NA,4.02,NA,NA,NA,1.15,3.792,0.032,NA,NA,NA,NA,7.383,5.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2235,NA,NA,NA,NA,NA,NA,NA,NA,213,5,NA,NA,NA,11.81,NA,0.00825,9.94,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,NA,-23.569036,-60.522917,sed_2023_clean.xlsx,1.42,NA,NA
Hacienda 9 de junio,2023-11-16,11:35,November 2023,DE - CTN,Pilcomayo,"23° 27' 7.69""","60° 52' 19.58""",NA,NA,0,1216,NA,2.64,3.45,0.67,8,92.85,7.15,0,Arena,1,27.7,35.21,3.19,4.62,10.44,17.43,0.41,0.063 - <2.0 mm,NA,NA,2.75,NA,NA,NA,1.15,0.1525,0.096,NA,NA,NA,NA,4.975,2.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6873,NA,NA,NA,NA,NA,NA,NA,NA,139,184,NA,NA,NA,6.996,NA,0.00825,8.16,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,-23.452136,-60.872106,sed_2023_clean.xlsx,1.45,NA,NA
Hacienda 9 de junio,2023-11-16,11:35,November 2023,DE - CTN,Pilcomayo,"23° 27' 7.69""","60° 52' 19.58""",NA,NA,0,1216,NA,2.64,3.45,0.67,8,92.85,7.15,0,Arena,1,27.7,35.21,3.19,4.62,10.44,17.43,0.41,<0.063 mm,NA,NA,4.37,NA,NA,NA,1.15,0.1525,0.119,NA,NA,NA,NA,8.744,5.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1012,NA,NA,NA,NA,NA,NA,NA,NA,241,114,NA,NA,NA,11.9,NA,0.00825,12.4,NA,NA,NA,NA,NA,0.632,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,-23.452136,-60.872106,sed_2023_clean.xlsx,1.45,NA,NA
Misión La Paz - SNIH,2023-11-14,7:00,November 2023,DE - CTN,Pilcomayo,"22° 22' 41.07""","62° 31' 06.84""",1.27,77.863,0,931,NA,2.63,35.88,1.92,8,80.75,19.25,0,Arenoso Franco,1.8,12.45,8.67,4.3,11.41,32.52,28.53,0.31,0.063 - <2.0 mm,NA,NA,7.51,NA,NA,NA,1.15,8.429,0.248,NA,NA,NA,NA,18.11,10.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8092,NA,NA,NA,NA,NA,NA,NA,NA,476,105,NA,NA,NA,19.67,NA,0.00825,24,NA,NA,NA,NA,NA,1.022,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,NA,-22.378075,-62.518567,sed_2023_clean.xlsx,1.11,NA,NA
Misión La Paz - SNIH,2023-11-14,7:00,November 2023,DE - CTN,Pilcomayo,"22° 22' 41.07""","62° 31' 06.84""",1.27,77.863,0,931,NA,2.63,35.88,1.92,8,80.75,19.25,0,Arenoso Franco,1.8,12.45,8.67,4.3,11.41,32.52,28.53,0.31,<0.063 mm,NA,NA,5.33,NA,NA,NA,1.15,5.333,0.193,NA,NA,NA,NA,11.17,5.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0895,NA,NA,NA,NA,NA,NA,NA,NA,279,5,NA,NA,NA,11.25,NA,0.00825,16.7,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,NA,-22.378075,-62.518567,sed_2023_clean.xlsx,1.11,NA,NA
Agropil,2023-11-13,13:35,November 2023,DE - CTN,Pilcomayo,"23° 10' 10.24""","61° 37' 29.21""",NA,NA,0,471,NA,2.71,8.55,0.4,8,92.79,7.21,0,Arena,0.82,8.01,90.54,0.3,0.09,0.03,0.04,0.17,0.063 - <2.0 mm,NA,NA,3.82,NA,NA,NA,1.15,0.1525,0.083,NA,NA,NA,NA,4.326,2.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7237,NA,NA,NA,NA,NA,NA,NA,NA,161,5,NA,NA,NA,6.64,NA,0.00825,11.3,NA,NA,NA,NA,NA,0.679,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,NA,-23.169511,-61.624781,sed_2023_clean.xlsx,1.6,NA,NA
Agropil,2023-11-13,13:35,November 2023,DE - CTN,Pilcomayo,"23° 10' 10.24""","61° 37' 29.21""",NA,NA,0,471,NA,2.71,8.55,0.4,8,92.79,7.21,0,Arena,0.82,8.01,90.54,0.3,0.09,0.03,0.04,0.17,<0.063 mm,NA,NA,4.15,NA,NA,NA,1.15,0.1525,0.086,NA,NA,NA,NA,4.981,4.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8653,NA,NA,NA,NA,NA,NA,NA,NA,159,5,NA,NA,NA,8.151,NA,0.00825,12.4,NA,NA,NA,NA,NA,1.409,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,NA,-23.169511,-61.624781,sed_2023_clean.xlsx,1.6,NA,NA
El Solitario,2023-11-13,10:20,November 2023,DE - CTN,Pilcomayo,"22° 51' 36.81""","62° 01' 09.75""",NA,NA,0,748,NA,2.71,10.5,0.37,8,95.32,4.68,0,Arena,0.41,10,87.8,0.59,0.24,0.29,0.49,0.16,0.063 - <2.0 mm,NA,NA,3.02,NA,NA,NA,1.15,0.1525,0.032,NA,NA,NA,NA,4.629,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6446,NA,NA,NA,NA,NA,NA,NA,NA,121,380,NA,NA,NA,6.314,NA,0.00825,18.9,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,-22.860225,-62.019375,sed_2023_clean.xlsx,1.64,NA,NA
El Solitario,2023-11-13,10:20,November 2023,DE - CTN,Pilcomayo,"22° 51' 36.81""","62° 01' 09.75""",NA,NA,0,748,NA,2.71,10.5,0.37,8,95.32,4.68,0,Arena,0.41,10,87.8,0.59,0.24,0.29,0.49,0.16,<0.063 mm,NA,NA,4.03,NA,NA,NA,1.15,0.1525,0.091,NA,NA,NA,NA,6.27,5.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0418,NA,NA,NA,NA,NA,NA,NA,NA,184,78.1,NA,NA,NA,9.519,NA,0.00825,12.5,NA,NA,NA,NA,NA,1.712,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,NA,-22.860225,-62.019375,sed_2023_clean.xlsx,1.64,NA,NA
María Cristina,2023-11-13,7:10,November 2023,DE - CTN,La Estrella,"22° 41' 48.90""","62° 11' 48.64""",NA,NA,0,632,NA,2.69,27.62,0.45,8,79.5,20.5,0,Arenoso Franco,2.13,22.57,62.48,2.6,3.68,4.07,1.74,0.73,0.063 - <2.0 mm,NA,NA,4.22,NA,NA,NA,1.15,0.1525,0.116,NA,NA,NA,NA,7.516,5.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0466,NA,NA,NA,NA,NA,NA,NA,NA,195,5,NA,NA,NA,10.33,NA,0.00825,12.3,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,NA,-22.696917,-62.196844,sed_2023_clean.xlsx,1.56,NA,NA
María Cristina,2023-11-13,7:10,November 2023,DE - CTN,La Estrella,"22° 41' 48.90""","62° 11' 48.64""",NA,NA,0,632,NA,2.69,27.62,0.45,8,79.5,20.5,0,Arenoso Franco,2.13,22.57,62.48,2.6,3.68,4.07,1.74,0.73,<0.063 mm,NA,NA,3.58,NA,NA,NA,1.15,0.1525,0.101,NA,NA,NA,NA,6.532,4.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9816,NA,NA,NA,NA,NA,NA,NA,NA,172,5,NA,NA,NA,8.877,NA,0.00825,9.89,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,NA,-22.696917,-62.196844,sed_2023_clean.xlsx,1.56,NA,NA
Meyer Sitio 01,2023-11-13,7:00,November 2023,DE - CTN,Pilcomayo Medio Embocadura - Canal Paraguayo,"22° 22' 41.07""","62° 31' 06.84""",NA,NA,0,1336,NA,2.68,7.38,0.35,8,93.64,6.36,0,Arena,1.23,13.41,79.14,4.98,0.28,0.23,0.31,0.43,0.063 - <2.0 mm,NA,NA,2.99,NA,NA,NA,1.15,0.1525,0.083,NA,NA,NA,NA,3.421,2.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5565,NA,NA,NA,NA,NA,NA,NA,NA,99.41,5,NA,NA,NA,5.634,NA,0.00825,8.48,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,NA,-22.378075,-62.518567,sed_2023_clean.xlsx,1.54,NA,NA
Meyer Sitio 01,2023-11-13,7:00,November 2023,DE - CTN,Pilcomayo Medio Embocadura - Canal Paraguayo,"22° 22' 41.07""","62° 31' 06.84""",NA,NA,0,1336,NA,2.68,7.38,0.35,8,93.64,6.36,0,Arena,1.23,13.41,79.14,4.98,0.28,0.23,0.31,0.43,<0.063 mm,NA,NA,3.3,NA,NA,NA,1.15,0.1525,0.032,NA,NA,NA,NA,4.888,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7612,NA,NA,NA,NA,NA,NA,NA,NA,139,5,NA,NA,NA,6.954,NA,0.00825,8.69,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,-22.378075,-62.518567,sed_2023_clean.xlsx,1.54,NA,NA
Talula - Automática,2023-10-20,10:15,October 2023,DE - CTN,Pilcomayo,"19° 7' 51.11""","65° 27' 2.03""",NA,NA,0,555,NA,2.68,62.47,0.43,7.7,76.27,23.73,0,Arenoso franco,2.38,11.42,24.37,31.08,1.73,3.8,24.02,1.2,0.063 - <2.0 mm,NA,NA,9.93,NA,NA,NA,1.15,3.79,0.361,NA,NA,NA,NA,10.03,3.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9496,NA,NA,NA,NA,NA,NA,NA,NA,325,5,NA,NA,NA,7.075,NA,0.00825,13.3,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,-19.130864,-65.450564,sed_2023_clean.xlsx,1.62,NA,NA
Talula - Automática,2023-10-20,10:15,October 2023,DE - CTN,Pilcomayo,"19° 7' 51.11""","65° 27' 2.03""",NA,NA,0,555,NA,2.68,62.47,0.43,7.7,76.27,23.73,0,Arenoso franco,2.38,11.42,24.37,31.08,1.73,3.8,24.02,1.2,<0.063 mm,NA,NA,12.2,NA,NA,NA,1.15,3.557,0.49,NA,NA,NA,NA,11.36,2.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8321,NA,NA,NA,NA,NA,NA,NA,NA,322,5,NA,NA,NA,7.47,NA,0.00825,16,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,-19.130864,-65.450564,sed_2023_clean.xlsx,1.62,NA,NA
Viña Quemada,2023-10-19,11:15,October 2023,DE - CTN,Pilcomayo,"19° 24.' 26.85""","64° 51' 48.9""",0.697,15.595,0,1500,NA,2.71,43.22,0.73,7.9,78.59,20.41,1,Arenoso franco,2.19,14.33,30.56,5.82,7.66,14.31,24.63,0.51,0.063 - <2.0 mm,NA,NA,27.5,NA,NA,NA,1.15,18.2,0.549,NA,NA,NA,NA,16.56,4.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3949,NA,NA,NA,NA,NA,NA,NA,NA,530,116,NA,NA,NA,13.17,NA,0.00825,19.7,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,-19.407458,-64.863583,sed_2023_clean.xlsx,2.06,NA,NA
Viña Quemada,2023-10-19,11:15,October 2023,DE - CTN,Pilcomayo,"19° 24.' 26.85""","64° 51' 48.9""",0.697,15.595,0,1500,NA,2.71,43.22,0.73,7.9,78.59,20.41,1,Arenoso franco,2.19,14.33,30.56,5.82,7.66,14.31,24.63,0.51,<0.063 mm,NA,NA,9.81,NA,NA,NA,1.15,10.87,0.526,NA,NA,NA,NA,18.38,4.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6543,NA,NA,NA,NA,NA,NA,NA,NA,557,5,NA,NA,NA,14.26,NA,0.0825,23,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,-19.407458,-64.863583,sed_2023_clean.xlsx,2.06,NA,NA
Colavi - Canutillos,2023-10-18,14:10,October 2023,DE - CTN,Colavi,"19° 19' 17.1""","65° 33' 7.0""",0.221,0.031,0,4280,NA,2.66,60.14,6.1,2.9,64.54,35.46,0,Franco arenoso,0.28,0.48,6.28,31.26,21.03,13.48,27.12,0.07,0.063 - <2.0 mm,NA,NA,113,NA,NA,NA,3.3,2.085,0.3,NA,NA,NA,NA,78.49,6.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3812,NA,NA,NA,NA,NA,NA,NA,NA,484,5,NA,NA,NA,3.622,NA,4.03,40.1,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,NA,-19.321417,-65.551944,sed_2023_clean.xlsx,1.23,NA,NA
Colavi - Canutillos,2023-10-18,14:10,October 2023,DE - CTN,Colavi,"19° 19' 17.1""","65° 33' 7.0""",0.221,0.031,0,4280,NA,2.66,60.14,6.1,2.9,64.54,35.46,0,Franco arenoso,0.28,0.48,6.28,31.26,21.03,13.48,27.12,0.07,<0.063 mm,NA,NA,103,NA,NA,NA,2.4,0.1525,0.483,NA,NA,NA,NA,68.63,6.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8748,NA,NA,NA,NA,NA,NA,NA,NA,187,5,NA,NA,NA,1.724,NA,3.83,38.6,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,-19.321417,-65.551944,sed_2023_clean.xlsx,1.23,NA,NA
Tarapaya,2023-10-18,8:35,October 2023,DE - CTN,Tarapaya,"19° 28' 18.77""","65° 47' 39.52""",0.353,0.376,0,5540,NA,1.16,41.13,6.57,7,76.87,21.13,2,Arenoso franco,0.09,0.17,5.41,46.99,19.49,9.02,18.79,0.04,0.063 - <2.0 mm,NA,NA,264,NA,NA,NA,2.3,3.854,11.76,NA,NA,NA,NA,136,3.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6625,NA,NA,NA,NA,NA,NA,NA,NA,294,265,NA,NA,NA,9.069,NA,5.21,119,NA,NA,NA,NA,NA,0.011,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,3362,NA,-19.471881,-65.794311,sed_2023_clean.xlsx,1.08,NA,NA
