OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
181,1,181,2801,2803.2617586798888,18100,-0.0034411084937983104
182,1,182,2801,2802.9171044842647,18200,-0.0034465419562411627
183,1,183,2801,2802.5718536740096,18300,-0.003452508102550382
184,1,184,2801,2802.225952980736,18400,-0.0034590069327350647
185,1,185,2800,2801.8793491360557,18500,-0.0034660384468043048
186,1,186,2800,2801.531988871582,18600,-0.003473602644735365
187,1,187,2799,2801.185743243243,18700,-0.0034624562833914753
188,1,188,2799,2800.8424539263574,18800,-0.003432893168856026
189,1,189,2798,2800.5020235816264,18900,-0.003404303447309758
190,1,190,2798,2800.1643548697507,19000,-0.0033766871187572178
191,1,191,2798,2799.8293504514304,19100,-0.0033500441832029536
192,1,192,2798,2799.496912987366,19200,-0.0033243746406424178
193,1,193,2798,2799.166945138258,19300,-0.0032996784910801578
194,1,194,2798,2798.839349564807,19400,-0.0032759557345116265
195,1,195,2798,2798.5140289277133,19500,-0.003253206370936823
196,1,196,2797,2798.1908858876777,19600,-0.003231430400355748
197,1,197,2797,2797.869823105401,19700,-0.0032106278227684013
198,1,198,2796,2797.5507432415816,19800,-0.003190798638192973
199,1,199,2796,2797.233548956923,19900,-0.0031719428465839883
200,1,200,2796,2796.918142912124,20000,-0.003154060447991469
201,1,201,2796,2796.6044277678848,20100,-0.0031371514423926784
202,1,202,2796,2796.292306184907,20200,-0.0031212158297785207
203,1,203,2796,2795.9816808238897,20300,-0.003106253610171734
204,1,204,2795,2795.6724543455352,20400,-0.0030922647835450335
205,1,205,2794,2795.3645294105418,20500,-0.003079249349934798
206,1,206,2794,2795.0578086796118,20600,-0.0030672073093001018
207,1,207,2793,2794.7521948134454,20700,-0.003056138661663681
208,1,208,2794,2794.4475904727415,20800,-0.0030460434070391784
209,1,209,2794,2794.1438983182024,20900,-0.0030369215453902145
210,1,210,2793,2793.841021010527,21000,-0.0030287730767531683
211,1,211,2793,2793.5388612104175,21100,-0.0030215980010962085
212,1,212,2793,2793.2373215785733,21200,-0.003015396318442072
213,1,213,2793,2792.9363047756956,21300,-0.003010168028777116
214,1,214,2792,2792.6357134624845,21400,-0.003005913132110436
215,1,215,2791,2792.33545029964,21500,-0.0030026316284465795
216,1,216,2791,2792.035417947864,21600,-0.003000323517758261
217,1,217,2792,2791.735519067855,21700,-0.002998988800090956
218,1,218,2791,2791.4356563203146,21800,-0.0029986274754037366
219,1,219,2791,2791.135732365943,21900,-0.0029992395437147936
220,1,220,2790,2790.835649865441,22000,-0.0030008250050195784
221,1,221,2789,2790.5353114795093,22100,-0.0030033838593180916
222,1,222,2790,2790.234619868848,22200,-0.0030069161066148807
223,1,223,2789,2789.933477694157,22300,-0.0030114217469099456
224,1,224,2788,2789.631787616137,22400,-0.0030169007801987393
225,1,225,2788,2789.3294522954898,22500,-0.0030233532064721656
226,1,226,2792,2789.0263743929145,22600,-0.003030779025752963
227,1,227,2790,2788.7224565691117,22700,-0.003039178238027489
228,1,228,2787,2788.4176014847826,22800,-0.0030485508432911957
229,1,229,2787,2788.111711800627,22900,-0.0030588968415577256
230,1,230,2784,2787.804690177346,23000,-0.003070216232808889
231,1,231,2786,2787.4964392756397,23100,-0.0030825090170628756
232,1,232,2786,2787.1868617562086,23200,-0.0030957751943105905
