OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
115,1,115,2589,2587.8248562539156,11500,-0.004831892838687964
116,1,116,2587,2587.3432171353547,11600,-0.0048163911856090634
117,1,117,2586,2586.8629607764565,11700,-0.004802563588982594
118,1,118,2585,2586.38391977157,11800,-0.004790410048863123
119,1,119,2586,2585.905926715054,11900,-0.004779930565159702
120,1,120,2585,2585.428814201258,12000,-0.004771125137963282
121,1,121,2585,2584.9524148245364,12100,-0.0047639937672147425
122,1,122,2585,2584.476561179243,12200,-0.004758536452932276
123,1,123,2588,2584.0010858597298,12300,-0.004754753195134072
124,1,124,2583,2583.5258214603514,12400,-0.00475264399378375
125,1,125,2583,2583.0506005754596,12500,-0.00475220884891769
126,1,126,2583,2582.5752557994088,12600,-0.004753447760508607
127,1,127,2581,2582.099619726553,12700,-0.004756360728556501
128,1,128,2581,2581.6235249512433,12800,-0.004760947753097753
129,1,129,2580,2581.146804067835,12900,-0.004767208834082339
130,1,130,2580,2580.6692896706804,13000,-0.004775143971546641
131,1,131,2580,2580.1908143541323,13100,-0.004784753165481561
132,1,132,2579,2579.7112107125454,13200,-0.004796036415868911
133,1,133,2579,2579.2303113402713,13300,-0.004808993722740525
134,1,134,2579,2578.7479488316653,13400,-0.004823625086060019
135,1,135,2578,2578.263955781079,13500,-0.004839930505863776
136,1,136,2578,2577.778164782865,13600,-0.0048579099821381535
137,1,137,2576,2577.290408431379,13700,-0.004877563514860413
138,1,138,2575,2576.800519320973,13800,-0.004898891104062386
139,1,139,2580,2576.3083300460003,13900,-0.0049218927497258844
140,1,140,2574,2575.8136732008147,14000,-0.004946568451855455
141,1,141,2574,2575.316381379768,14100,-0.0049729182104692885
142,1,142,2579,2574.817319435527,14200,-0.004990619442405659
143,1,143,2575,2574.317462695059,14300,-0.004998567404682035
144,1,144,2573,2573.8168094641737,14400,-0.005006532308852911
145,1,145,2572,2573.315358048679,14500,-0.005014514154945573
146,1,146,2572,2572.813106754382,14600,-0.0050225129429736625
147,1,147,2571,2572.3100538870917,14700,-0.0050305286729008004
148,1,148,2574,2571.8061977526168,14800,-0.005038561344749723
149,1,149,2571,2571.301536656764,14900,-0.0050466109585295274
150,1,150,2571,2570.796068905343,15000,-0.005054677514208379
151,1,151,2569,2570.289792804161,15100,-0.005062761011818111
152,1,152,2569,2569.782706659027,15200,-0.005070861451340534
153,1,153,2569,2569.274808775748,15300,-0.005078978832789289
154,1,154,2568,2568.766097460134,15400,-0.00508711315614164
155,1,155,2568,2568.2565710179915,15500,-0.005095264421424872
156,1,156,2567,2567.746227755129,15600,-0.005103432628625342
157,1,157,2567,2567.235065977356,15700,-0.005111617777729407
158,1,158,2566,2566.723083990479,15800,-0.0051198198687689
159,1,159,2566,2566.2102801003066,15900,-0.005128038901725631
160,1,160,2566,2565.6966526126484,16000,-0.0051362748765814105
161,1,161,2566,2565.1821998333103,16100,-0.005144527793381712
162,1,162,2566,2564.6669200681026,16200,-0.005152797652076515
163,1,163,2565,2564.1508116228324,16300,-0.0051610844527021985
164,1,164,2564,2563.633872803308,16400,-0.005169388195245119
165,1,165,2563,2563.116101915338,16500,-0.005177708879700731
166,1,166,2564,2562.597497264729,16600,-0.005186046506087223
167,1,167,2563,2562.0780571572914,16700,-0.00519440107437731
168,1,168,2561,2561.557779898833,16800,-0.005202772584584636
169,1,169,2563,2561.0366637951606,16900,-0.005211161036722842
170,1,170,2562,2560.514249824,17000,-0.005224139711604039
171,1,171,2558,2559.9901394189264,17100,-0.005241104050737704
172,1,172,2558,2559.4644215695266,17200,-0.005257178493998253
173,1,173,2558,2558.937185265386,17300,-0.005272363041408426
174,1,174,2560,2558.408519496089,17400,-0.005286657692968219
175,1,175,2558,2557.8785132512244,17500,-0.005300062448645804
176,1,176,2558,2557.3472555203757,17600,-0.005312577308486653
177,1,177,2556,2556.8148352931285,17700,-0.005324202272472576
178,1,178,2557,2556.2813415590704,17800,-0.005334937340580837
179,1,179,2555,2555.7468633077856,17900,-0.005344782512847815
180,1,180,2555,2555.2114895288605,18000,-0.005353737789250772
181,1,181,2555,2554.67530921188,18100,-0.005361803169803352
182,1,182,2555,2554.138411346432,18200,-0.005368978654482817
183,1,183,2554,2553.6008849221,18300,-0.005375264243320998
184,1,184,2555,2553.062818928471,18400,-0.0053806599362860655
185,1,185,2553,2552.52430235513,18500,-0.005385165733409849
186,1,186,2552,2551.985424191664,18600,-0.005388781634660517
187,1,187,2552,2551.4462734276576,18700,-0.005391507640065356
188,1,188,2551,2550.906939052697,18800,-0.005393343749606174
189,1,189,2551,2550.3675100563687,18900,-0.0053942899632829725
190,1,190,2550,2549.8280754282573,19000,-0.00539434628111394
191,1,191,2549,2549.288724157949,19100,-0.005393512703080887
192,1,192,2548,2548.7495452350295,19200,-0.005391789229197457
193,1,193,2549,2548.210627649086,19300,-0.005389175859436364
194,1,194,2547,2547.6720603897015,19400,-0.0053856725938430825
195,1,195,2550,2547.1339324464643,19500,-0.005381279432372139
196,1,196,2547,2546.596332808959,19600,-0.005375996375055365
197,1,197,2544,2546.0593504667713,19700,-0.005369823421874571
198,1,198,2546,2545.5219067777657,19800,-0.005374436890056131
199,1,199,2544,2544.982923750291,19900,-0.005389830274748419
200,1,200,2544,2544.4424913496596,20000,-0.005404324006312891
201,1,201,2544,2543.9006995411846,20100,-0.005417918084749545
202,1,202,2543,2543.357638290176,20200,-0.005430612510085666
203,1,203,2542,2542.8133975619503,20300,-0.005442407282257591
204,1,204,2542,2542.268067321818,20400,-0.005453302401324436
205,1,205,2541,2541.721737535091,20500,-0.005463297867268011
206,1,206,2540,2541.1744981670836,20600,-0.005472393680074674
